"Id","SalePrice"
1461,129900
1462,135000
1463,192000
1464,188500
1465,180000
1466,174000
1467,180500
1468,176500
1469,147000
1470,124500
1471,181000
1472,106000
1473,106000
1474,148500
1475,148500
1476,485000
1477,233170
1478,274900
1479,320000
1480,386250
1481,255000
1482,202500
1483,201000
1484,192500
1485,188500
1486,183500
1487,336000
1488,192000
1489,186500
1490,254900
1491,180000
1492,102000
1493,158900
1494,190000
1495,190000
1496,328900
1497,210000
1498,151000
1499,147400
1500,177500
1501,177500
1502,207500
1503,187750
1504,216000
1505,185000
1506,185000
1507,236000
1508,146800
1509,154000
1510,145250
1511,180500
1512,1e+05
1513,110000
1514,88000
1515,147000
1516,167500
1517,169900
1518,124000
1519,272000
1520,148000
1521,148000
1522,143000
1523,109000
1524,135000
1525,145000
1526,145000
1527,150750
1528,105000
1529,109008
1530,149500
1531,116900
1532,128000
1533,142125
1534,107900
1535,110500
1536,128000
1537,98000
1538,205000
1539,157000
1540,113000
1541,125500
1542,120000
1543,210000
1544,68500
1545,128000
1546,132500
1547,154300
1548,128000
1549,125500
1550,128000
1551,116900
1552,135000
1553,127000
1554,105900
1555,167500
1556,138887
1557,102000
1558,82500
1559,34900
1560,145000
1561,136500
1562,129500
1563,129500
1564,187500
1565,127000
1566,190000
1567,102000
1568,222500
1569,129000
1570,154000
1571,137450
1572,129000
1573,293077
1574,82500
1575,277000
1576,290000
1577,206000
1578,135000
1579,126000
1580,172400
1581,136500
1582,129000
1583,271000
1584,191000
1585,140000
1586,108000
1587,141000
1588,207500
1589,126000
1590,107000
1591,108000
1592,136500
1593,102000
1594,1e+05
1595,94000
1596,311500
1597,132000
1598,200500
1599,189000
1600,180000
1601,105000
1602,152000
1603,82000
1604,275000
1605,210000
1606,171500
1607,124000
1608,255000
1609,178000
1610,167500
1611,128900
1612,179900
1613,145000
1614,80000
1615,97000
1616,97000
1617,83500
1618,132000
1619,128000
1620,174000
1621,174000
1622,169900
1623,203000
1624,253000
1625,128900
1626,205000
1627,181000
1628,236000
1629,168500
1630,286000
1631,213500
1632,236500
1633,180000
1634,192000
1635,188000
1636,213000
1637,213000
1638,178000
1639,167900
1640,195000
1641,132000
1642,205950
1643,226000
1644,254900
1645,197900
1646,167900
1647,175000
1648,110000
1649,159000
1650,110000
1651,132000
1652,1e+05
1653,106000
1654,148500
1655,127500
1656,148500
1657,155000
1658,148500
1659,147000
1660,140000
1661,350000
1662,325624
1663,315000
1664,555000
1665,306000
1666,326000
1667,412500
1668,395192
1669,335000
1670,325000
1671,260400
1672,325000
1673,165400
1674,250000
1675,196000
1676,230000
1677,230000
1678,320000
1679,374000
1680,318061
1681,319900
1682,297000
1683,256300
1684,162000
1685,183500
1686,160200
1687,215000
1688,222500
1689,183500
1690,188500
1691,188500
1692,188500
1693,184000
1694,193000
1695,170000
1696,214000
1697,180000
1698,337000
1699,232000
1700,348000
1701,190000
1702,250000
1703,192000
1704,307000
1705,307000
1706,555000
1707,250580
1708,210000
1709,255500
1710,245000
1711,350000
1712,395000
1713,185000
1714,185000
1715,216000
1716,178000
1717,184900
1718,141000
1719,233000
1720,204000
1721,155000
1722,141000
1723,155000
1724,203000
1725,237000
1726,201000
1727,179200
1728,230000
1729,193500
1730,142953
1731,144000
1732,109008
1733,135000
1734,125500
1735,145500
1736,139000
1737,204000
1738,210000
1739,147400
1740,199900
1741,197000
1742,177500
1743,183900
1744,350000
1745,185000
1746,187000
1747,169500
1748,170000
1749,143000
1750,122000
1751,190000
1752,1e+05
1753,140000
1754,180000
1755,197900
1756,139950
1757,109008
1758,143000
1759,157500
1760,144900
1761,110000
1762,158000
1763,159500
1764,139000
1765,167500
1766,157000
1767,147000
1768,145250
1769,159000
1770,147000
1771,133700
1772,139950
1773,139400
1774,111000
1775,128900
1776,128900
1777,124500
1778,134500
1779,109900
1780,143000
1781,1e+05
1782,109000
1783,105900
1784,134900
1785,123000
1786,135000
1787,143000
1788,98000
1789,64500
1790,64500
1791,2e+05
1792,1e+05
1793,180500
1794,134500
1795,143250
1796,242000
1797,118500
1798,156500
1799,140000
1800,137500
1801,109000
1802,118500
1803,205000
1804,165500
1805,140000
1806,125000
1807,87000
1808,125500
1809,52000
1810,127500
1811,113000
1812,96500
1813,152000
1814,107900
1815,97000
1816,116000
1817,125500
1818,116000
1819,178000
1820,108000
1821,149000
1822,135000
1823,34900
1824,113000
1825,139000
1826,128000
1827,128000
1828,127500
1829,105000
1830,109000
1831,159500
1832,122000
1833,152000
1834,157000
1835,135900
1836,115000
1837,150000
1838,115000
1839,124500
1840,179000
1841,135000
1842,135000
1843,149500
1844,171000
1845,149500
1846,149500
1847,140000
1848,93000
1849,107500
1850,113000
1851,174500
1852,129000
1853,213500
1854,147000
1855,228500
1856,210000
1857,169000
1858,142953
1859,118964
1860,153337
1861,118964
1862,350000
1863,350000
1864,350000
1865,611657
1866,295493
1867,194000
1868,297000
1869,194500
1870,226000
1871,297000
1872,183500
1873,225000
1874,138000
1875,145000
1876,200500
1877,227000
1878,221000
1879,125500
1880,110000
1881,214000
1882,195000
1883,185900
1884,196500
1885,203000
1886,312500
1887,210000
1888,213000
1889,219500
1890,154500
1891,145000
1892,112500
1893,145000
1894,118000
1895,175500
1896,119000
1897,127000
1898,145000
1899,189950
1900,154900
1901,130000
1902,109008
1903,154900
1904,161500
1905,167000
1906,174500
1907,144500
1908,124000
1909,124000
1910,124000
1911,168500
1912,335000
1913,133000
1914,107000
1915,392500
1916,109900
1917,216500
1918,107000
1919,137500
1920,124000
1921,315500
1922,378500
1923,215000
1924,301500
1925,202900
1926,320000
1927,149350
1928,175500
1929,132500
1930,129500
1931,133000
1932,129500
1933,172000
1934,193000
1935,185000
1936,192000
1937,187500
1938,173000
1939,213500
1940,189000
1941,181000
1942,165600
1943,180000
1944,377426
1945,377500
1946,185750
1947,319900
1948,185000
1949,221000
1950,187500
1951,222000
1952,167900
1953,130000
1954,171000
1955,110000
1956,336000
1957,1e+05
1958,271000
1959,136000
1960,110000
1961,132000
1962,113000
1963,118000
1964,106000
1965,148500
1966,146000
1967,372402
1968,555000
1969,374000
1970,350000
1971,386250
1972,412500
1973,380000
1974,412500
1975,555000
1976,221000
1977,340000
1978,354000
1979,318061
1980,194700
1981,318061
1982,254000
1983,254000
1984,175500
1985,192500
1986,175900
1987,172500
1988,183500
1989,183500
1990,222500
1991,224000
1992,223500
1993,162000
1994,236000
1995,181000
1996,285000
1997,248000
1998,260400
1999,225000
2000,280000
2001,270000
2002,232000
2003,165400
2004,305000
2005,216837
2006,208300
2007,159895
2008,229456
2009,230000
2010,179600
2011,141000
2012,179900
2013,215000
2014,201000
2015,280000
2016,185900
2017,187000
2018,139900
2019,132000
2020,129000
2021,132000
2022,175500
2023,125000
2024,190000
2025,285000
2026,196000
2027,151000
2028,146000
